UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
14-Sep-21,02 B,11,32,SS,3,12.67,5.71,4,3.9,4.46,31.2,35.68
14-Sep-21,02 B,11,32,SS,7.5,12.8,6.25,4,9.3,10.7,29.76,34.24
15-Sep-21,02 B,11,32,SS,11.5,12.09,11.07,4,15.6,17.75,32.56,37.04
16-Sep-21,02 B,11,32,SS,24,12.08,10.71,4,32.5,37,32.5,37
17-Sep-21,02 B,11,32,SS,24,12.08,10.91,4,32.5,37,32.5,37
18-Sep-21,02 B 1,11,32,SS,8,12.13,11.01,5,10.9,12.4,32.7,37.2
19-Sep-21,02 B 1,11,32,SS,24,12.17,10.87,5,32.7,37.2,32.7,37.2
20-Sep-21,02 B 1,11,32,SS,24.5,12.12,10.94,4,33.61,38.2,32.92,37.42
21-Sep-21,02 B 1,11,32,SS,25,12.24,10.42,4,34.7,39.38,33.31,37.8
22-Sep-21,02 B 1,11,32,SS,24,11.42,16.64,4,33.5,38,33.5,38
23-Sep-21,02 B 1,11,32,SS,24,11.13,18.25,4,32.6,37.1,32.6,37.1
24-Sep-21,02 B 1,11,32,SS,24,12.08,11.23,4,32.55,37.05,32.55,37.05
25-Sep-21,02 B 1,11,32,SS,24,12.29,9.51,4,33.5,38,33.5,38
26-Sep-21,02 B 1,11,32,SS,25,11.8,13.36,4,33.9,38.5,32.54,36.96
27-Sep-21,02 B 1,11,32,SS,24,12.21,10.12,4,32.2,36.7,32.2,36.7
28-Sep-21,02 B 1,11,32,SS,25,13.12,3.56,4,33.1,37.6,31.78,36.1
29-Sep-21,02 B 1,11,32,SS,24,12.42,8.34,4,31.9,36.4,31.9,36.4
30-Sep-21,02 B 1,11,32,SS,18,12.33,7.88,4,22.93,26.3,30.57,35.07
8-Nov-21,03 B,11,32,SS,19,11.11,15.46,4,22.7,26.2,28.67,33.09
9-Nov-21,03 B,11,32,SS,24,11.33,13.87,4,28.6,33.1,28.6,33.1
10-Nov-21,03 B,11,32,SS,24,11.5,12.46,4,28.3,32.8,28.3,32.8
11-Nov-21,03 B,11,32,SS,24,12.17,7.33,,27.53,32.03,27.53,32.03
12-Nov-21,03 B 1,11,32,SS,6.5,12.15,6.62,,7.5,8.71,27.69,32.16
14-Nov-21,03 B 2,11,32,SS,17.5,10.6,19.31,,19.9,23.1,27.29,31.68
15-Nov-21,03 B 2,11,32,SS,24,10.75,18.17,4,27.3,31.8,27.3,31.8
16-Nov-21,03 B 2,11,32,SS,24,10.81,17.67,4,26.6,31.1,26.6,31.1
17-Nov-21,03 B 2,11,32,SS,17.5,10.69,17.98,4,24.4,27.68,33.46,37.96
29-Nov-21,04 B,11,32,SS,13.5,11.7,6.29,,16.8,18.7,29.87,33.24
30-Nov-21,04 B,11,32,SS,25,11.92,7.02,,31.2,34.9,29.95,33.5
1-Dec-21,04 B,11,32,SS,24.5,12.76,-3.89,,30.4,33.9,29.78,33.21
2-Dec-21,04 B,11,32,SS,24,12.33,3.39,,29.7,33.2,29.7,33.2
2-Dec-21,04 B,11,32,SS,3.5,11.14,15.95,,4.3,4.8,29.49,32.91
30-Dec-21,05 B,11,32,SS,13.5,11.19,13.42,,16.8,18.7,29.87,33.24
30-Dec-21,05 B,11,32,SS,16.5,11.33,11.83,,20.8,23.9,30.25,34.76
16-Jan-22,06 B 1,11,32,SS,9.5,11.05,11.69,,9.2,10.42,23.24,26.32
17-Jan-22,06 B 1,11,32,SS,24,11.63,10.55,,29.3,32.8,29.3,32.8
18-Jan-22,06 B 1,11,32,SS,24,10.54,17.08,,28.4,31.8,28.4,31.8
19-Jan-22,06 B 1,11,32,SS,24,10.79,17.49,,29.4,32.9,29.4,32.9
19-Jan-22,06 B 1,11,32,SS,8.5,9.88,21.5,,9.6,10.8,27.11,30.49
22-Jan-22,06B 2,11,32,SS,18,10.89,14.67,,21.1,23.7,28.13,31.6
23-Jan-22,06B 2,11,32,SS,24,11.13,14.45,,30.7,34.2,30.7,34.2
24-Jan-22,06B 2,11,32,SS,24,10.79,13.84,,28.5,31.9,28.5,31.9
24-Jan-22,06B 2,11,32,SS,13,11.62,10.65,,14.2,15.8,26.22,29.17
12-Feb-22,07 B2,11,32,SS,6,14.17,,,8.5,9.3,34,37.2
13-Feb-22,07 B2,11,32,SS,24,12.83,,,30.1,33.6,30.1,33.6
14-Feb-22,07 B2,11,32,SS,24,10.71,,,31.2,34.7,31.2,34.7
15-Feb-22,07 B2,11,32,SS,24,11.75,,,29.5,32.9,29.5,32.9
16-Feb-22,07 B2,11,32,SS,20,12.3,,,24.6,27.4,29.52,32.88
3-Mar-22,08 B1,11,32,SS,8,11.25,,,4.8,5.3,14.4,15.9
4-Mar-22,08 B1,11,32,SS,24,11.13,,,27,28.7,27,28.7
5-Mar-22,08 B1,11,32,SS,24,11.04,,,27.2,29,27.2,29
5-Mar-22,08 B1,11,32,SS,7,11.14,,,7.3,8,25.03,27.43
6-Mar-22,08 B2,11,32,SS,5,11.4,,,6.8,7.3,32.64,35.04
7-Mar-22,08 B2,11,32,SS,24,11.17,,,27.8,30,27.8,30
8-Mar-22,08 B2,11,32,SS,24,9.92,,,26.5,28,26.5,28
9-Mar-22,08 B2,11,32,SS,24,9.83,,,27.8,30.74,27.8,30.74
10-Mar-22,08 B2,11,32,SS,24,9.71,,,27.8,31.1,27.8,31.1
10-Mar-22,08 B2,11,32,SS,13.5,9.56,,,16.8,18.7,29.87,33.24
27-Mar-22,09 B,11,32,SS,1,11,,,0.8,0.9,19.2,21.6
28-Mar-22,09 B,11,32,SS,24,12.08,,,28.2,31.5,28.2,31.5
29-Mar-22,09 B,11,32,SS,24,12.13,,,26.5,29.8,26.5,29.8
30-Mar-22,09 B,11,32,SS,24,12.08,,,26.3,29.6,26.3,29.6
31-Mar-22,09 B,11,32,SS,24,11.75,,,26.4,29.7,26.4,29.7
1-Apr-22,09 B,11,32,SS,24,11.58,,,26.1,29.3,26.1,29.3
2-Apr-22,09 B,11,32,SS,24,12.08,,,26,29.2,26,29.2
2-Apr-22,09 B,11,32,SS,12.5,12.16,,,13.9,15.2,26.69,29.18
18-Apr-22,10 B,11,32,SS,21.5,11.35,,,25.8,29.1,28.8,32.48
19-Apr-22,10 B,11,32,SS,24,11.58,,,28.5,32.1,28.5,32.1
20-Apr-22,10 B,11,32,SS,25,10.56,,,26.1,29.4,25.06,28.22
21-Apr-22,10 B,11,32,SS,24.5,12.16,,,32.6,35.9,31.93,35.17
15-May-22,11 B,11,32,SS,17,12.53,,,25.8,28,36.42,39.53
15-May-22,11 B,11,32,SS,9.2,11.2,,,14.6,15.9,38.09,41.48
1-Jun-22,12 B,11,32,SS,8.5,11.06,,,9.2,10.2,25.98,28.8
2-Jun-22,12 B,11,32,SS,24,9.83,,,26.8,30,26.8,30
3-Jun-22,12 B,11,32,SS,25,9.48,,,28,31.5,26.88,30.24
4-Jun-22,12 B,11,32,SS,24.5,10.04,,,27.3,30.6,26.74,29.98
