UTC Date & Time,CP Fuel Cons. limit
2021-09-14,32
2021-09-14,32
2021-09-15,32
2021-09-16,32
2021-09-17,32
2021-09-18,32
2021-09-19,32
2021-09-20,32
2021-09-21,32
2021-09-22,32
2021-09-23,32
2021-09-24,32
2021-09-25,32
2021-09-26,32
2021-09-27,32
2021-09-28,32
2021-09-29,32
2021-09-30,32
2021-11-08,32
2021-11-09,32
2021-11-10,32
2021-11-11,32
2021-11-12,32
2021-11-14,32
2021-11-15,32
2021-11-16,32
2021-11-17,32
2021-11-29,32
2021-11-30,32
2021-12-01,32
2021-12-02,32
2021-12-02,32
2021-12-30,32
2021-12-30,32
2022-01-16,32
2022-01-17,32
2022-01-18,32
2022-01-19,32
2022-01-19,32
2022-01-22,32
2022-01-23,32
2022-01-24,32
2022-01-24,32
2022-02-12,32
2022-02-13,32
2022-02-14,32
2022-02-15,32
2022-02-16,32
2022-03-03,32
2022-03-04,32
2022-03-05,32
2022-03-05,32
2022-03-06,32
2022-03-07,32
2022-03-08,32
2022-03-09,32
2022-03-10,32
2022-03-10,32
2022-03-27,32
2022-03-28,32
2022-03-29,32
2022-03-30,32
2022-03-31,32
2022-04-01,32
2022-04-02,32
2022-04-02,32
2022-04-18,32
2022-04-19,32
2022-04-20,32
2022-04-21,32
2022-05-15,32
2022-05-15,32
2022-06-01,32
2022-06-02,32
2022-06-03,32
2022-06-04,32
2022-06-05,32
2022-06-05,32
2022-07-05,32
2022-07-06,32
2022-07-19,32
