UTC Date & Time,Speed (KTS)
2021-09-14,12.67
2021-09-14,12.8
2021-09-15,12.09
2021-09-16,12.08
2021-09-17,12.08
2021-09-18,12.13
2021-09-19,12.17
2021-09-20,12.12
2021-09-21,12.24
2021-09-22,11.42
2021-09-23,11.13
2021-09-24,12.08
2021-09-25,12.29
2021-09-26,11.8
2021-09-27,12.21
2021-09-28,13.12
2021-09-29,12.42
2021-09-30,12.33
2021-11-08,11.11
2021-11-09,11.33
2021-11-10,11.5
2021-11-11,12.17
2021-11-12,12.15
2021-11-14,10.6
2021-11-15,10.75
2021-11-16,10.81
2021-11-17,10.69
2021-11-29,11.7
2021-11-30,11.92
2021-12-01,12.76
2021-12-02,12.33
2021-12-02,11.14
2021-12-30,11.19
2021-12-30,11.33
2022-01-16,11.05
2022-01-17,11.63
2022-01-18,10.54
2022-01-19,10.79
2022-01-19,9.88
2022-01-22,10.89
2022-01-23,11.13
2022-01-24,10.79
2022-01-24,11.62
2022-02-12,14.17
2022-02-13,12.83
2022-02-14,10.71
2022-02-15,11.75
2022-02-16,12.3
2022-03-03,11.25
2022-03-04,11.13
2022-03-05,11.04
2022-03-05,11.14
2022-03-06,11.4
2022-03-07,11.17
2022-03-08,9.92
2022-03-09,9.83
2022-03-10,9.71
2022-03-10,9.56
2022-03-27,11
2022-03-28,12.08
2022-03-29,12.13
2022-03-30,12.08
2022-03-31,11.75
2022-04-01,11.58
2022-04-02,12.08
2022-04-02,12.16
2022-04-18,11.35
2022-04-19,11.58
2022-04-20,10.56
2022-04-21,12.16
2022-05-15,12.53
2022-05-15,11.2
2022-06-01,11.06
2022-06-02,9.83
2022-06-03,9.48
2022-06-04,10.04
2022-06-05,10.75
2022-06-05,10
2022-07-05,10.18
2022-07-06,10.17
2022-07-19,9.91
