UTC Date & Time,TOTAL FO Consumption / 24 hrs
2021-09-14,35.68
2021-09-14,34.24
2021-09-15,37.04
2021-09-16,37
2021-09-17,37
2021-09-18,37.2
2021-09-19,37.2
2021-09-20,37.42
2021-09-21,37.8
2021-09-22,38
2021-09-23,37.1
2021-09-24,37.05
2021-09-25,38
2021-09-26,36.96
2021-09-27,36.7
2021-09-28,36.1
2021-09-29,36.4
2021-09-30,35.07
2021-11-08,33.09
2021-11-09,33.1
2021-11-10,32.8
2021-11-11,32.03
2021-11-12,32.16
2021-11-14,31.68
2021-11-15,31.8
2021-11-16,31.1
2021-11-17,37.96
2021-11-29,33.24
2021-11-30,33.5
2021-12-01,33.21
2021-12-02,33.2
2021-12-02,32.91
2021-12-30,33.24
2021-12-30,34.76
2022-01-16,26.32
2022-01-17,32.8
2022-01-18,31.8
2022-01-19,32.9
2022-01-19,30.49
2022-01-22,31.6
2022-01-23,34.2
2022-01-24,31.9
2022-01-24,29.17
2022-02-12,37.2
2022-02-13,33.6
2022-02-14,34.7
2022-02-15,32.9
2022-02-16,32.88
2022-03-03,15.9
2022-03-04,28.7
2022-03-05,29
2022-03-05,27.43
2022-03-06,35.04
2022-03-07,30
2022-03-08,28
2022-03-09,30.74
2022-03-10,31.1
2022-03-10,33.24
2022-03-27,21.6
2022-03-28,31.5
2022-03-29,29.8
2022-03-30,29.6
2022-03-31,29.7
2022-04-01,29.3
2022-04-02,29.2
2022-04-02,29.18
2022-04-18,32.48
2022-04-19,32.1
2022-04-20,28.22
2022-04-21,35.17
2022-05-15,39.53
2022-05-15,41.48
2022-06-01,28.8
2022-06-02,30
2022-06-03,30.24
2022-06-04,29.98
2022-06-05,28.4
2022-06-05,32
2022-07-05,32.65
2022-07-06,32.75
2022-07-19,31.46
