UTC Date & Time,FW production (MT) /24
09/09/21,12
09/10/21,6
09/11/21,12
09/11/21,33
10/09/21,24
10/10/21,7.3
10/11/21,23
10/12/21,22.96
10/13/21,24
10/14/21,23
10/15/21,23
10/16/21,23
10/17/21,12
10/18/21,0
10/19/21,0
10/20/21,0
10/21/21,0
10/22/21,0
10/23/21,14.67
11/19/21,48
11/20/21,24
11/21/21,23
11/22/21,0
11/23/21,16
11/24/21,23
11/25/21,22
11/25/21,24
12/09/21,0
12/10/21,0
12/11/21,0
12/12/21,0
12/13/21,0
12/14/21,10
12/15/21,8
12/16/21,10
12/17/21,22
12/18/21,24
12/19/21,25
12/20/21,8
12/21/21,18
12/21/21,42.24
01/03/22,22
01/04/22,0
01/05/22,9
01/06/22,23
01/07/22,22
01/08/22,22
01/09/22,14
01/09/22,0
01/27/22,0
01/28/22,35
01/29/22,10
01/30/22,10
01/31/22,21
02/01/22,24
02/01/22,30.86
02/03/22,33.23
02/04/22,12
02/04/22,0
02/20/22,0
02/21/22,18
02/22/22,20
02/23/22,20
02/24/22,15
02/25/22,0
02/26/22,0
02/27/22,3.43
03/14/22,21.71
03/15/22,20
03/16/22,20
03/17/22,0
03/18/22,0
03/19/22,0
03/20/22,0
03/21/22,0
04/06/22,0
04/07/22,0
04/08/22,0
04/09/22,0
04/10/22,0
04/11/22,0
04/12/22,0
04/13/22,0
04/13/22,0
04/25/22,0
04/26/22,0
04/27/22,0
04/28/22,0
04/29/22,0
04/30/22,0
05/01/22,0
05/02/22,0
05/03/22,0
05/04/22,0
05/05/22,0
05/06/22,0
05/07/22,0
05/07/22,0
05/23/22,0
05/24/22,12
05/25/22,14
05/26/22,12
05/27/22,0
05/28/22,10
05/29/22,24
05/30/22,12.97
06/08/22,0
06/09/22,19.35
06/10/22,12.26
06/11/22,12.26
06/12/22,10.21
06/13/22,14
06/14/22,14
06/15/22,14
06/16/22,0
06/17/22,8
06/18/22,16
06/19/22,20
06/20/22,18
06/21/22,25.95
06/27/22,0
07/08/22,0
07/09/22,20
07/10/22,20
07/11/22,20
07/12/22,16
07/13/22,16
07/14/22,9
07/15/22,20
07/16/22,20
07/16/22,15.48
07/28/22,17.87
07/29/22,21
07/30/22,17
07/31/22,17
08/01/22,17
08/02/22,20
08/03/22,20
08/04/22,20
08/05/22,21
08/05/22,
08/17/22,9
08/18/22,20
08/19/22,20
08/20/22,22
08/21/22,21
08/22/22,20.27
