UTC Date & Time,Slip (%)
2021-09-14,5.71
2021-09-14,6.25
2021-09-15,11.07
2021-09-16,10.71
2021-09-17,10.91
2021-09-18,11.01
2021-09-19,10.87
2021-09-20,10.94
2021-09-21,10.42
2021-09-22,16.64
2021-09-23,18.25
2021-09-24,11.23
2021-09-25,9.51
2021-09-26,13.36
2021-09-27,10.12
2021-09-28,3.56
2021-09-29,8.34
2021-09-30,7.88
2021-11-08,15.46
2021-11-09,13.87
2021-11-10,12.46
2021-11-11,7.33
2021-11-12,6.62
2021-11-14,19.31
2021-11-15,18.17
2021-11-16,17.67
2021-11-17,17.98
2021-11-29,6.29
2021-11-30,7.02
2021-12-01,-3.89
2021-12-02,3.39
2021-12-02,15.95
2021-12-30,13.42
2021-12-30,11.83
2022-01-16,11.69
2022-01-17,10.55
2022-01-18,17.08
2022-01-19,17.49
2022-01-19,21.5
2022-01-22,14.67
2022-01-23,14.45
2022-01-24,13.84
2022-01-24,10.65
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-10,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-02,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-05-15,
2022-05-15,
2022-06-01,
2022-06-02,
2022-06-03,
2022-06-04,
2022-06-05,
2022-06-05,
2022-07-05,
2022-07-06,
2022-07-19,
