UTC Date & Time,CP Fuel Cons. Limit
2021-09-09,36
2021-09-10,36
2021-09-11,36
2021-09-11,36
2021-10-09,36
2021-10-10,36
2021-10-11,36
2021-10-12,36
2021-10-13,36
2021-10-14,36
2021-10-15,36
2021-10-16,36
2021-10-17,36
2021-10-18,36
2021-10-19,36
2021-10-20,36
2021-10-21,36
2021-10-22,36
2021-10-23,36
2021-11-19,36
2021-11-20,36
2021-11-21,36
2021-11-22,36
2021-11-23,36
2021-11-24,36
2021-11-25,36
2021-11-25,36
2021-12-09,36
2021-12-10,36
2021-12-11,36
2021-12-12,36
2021-12-13,36
2021-12-14,36
2021-12-15,36
2021-12-16,36
2021-12-17,36
2021-12-18,36
2021-12-19,36
2021-12-20,36
2021-12-21,36
2021-12-21,36
2022-01-03,36
2022-01-04,36
2022-01-05,36
2022-01-06,36
2022-01-07,36
2022-01-08,36
2022-01-09,36
2022-01-09,36
2022-01-27,36
2022-01-28,36
2022-01-29,36
2022-01-30,36
2022-01-31,36
2022-02-01,36
2022-02-01,36
2022-02-03,36
2022-02-04,36
2022-02-04,36
2022-02-20,36
2022-02-21,36
2022-02-22,36
2022-02-23,36
2022-02-24,36
2022-02-25,36
2022-02-26,36
2022-02-27,36
2022-03-14,36
2022-03-15,36
2022-03-16,36
2022-03-17,36
2022-03-18,36
2022-03-19,36
2022-03-20,36
2022-03-21,36
2022-04-06,36
2022-04-07,36
2022-04-08,36
2022-04-09,36
2022-04-10,36
2022-04-11,36
2022-04-12,36
2022-04-13,36
2022-04-13,36
2022-04-25,36
2022-04-26,36
2022-04-27,36
2022-04-28,36
2022-04-29,36
2022-04-30,36
2022-05-01,36
2022-05-02,36
2022-05-03,36
2022-05-04,36
2022-05-05,36
2022-05-06,36
2022-05-07,36
2022-05-07,36
2022-05-23,36
2022-05-24,36
2022-05-25,36
2022-05-26,36
2022-05-27,36
2022-05-28,36
2022-05-29,36
2022-05-30,36
2022-06-08,36
2022-06-09,36
2022-06-10,36
2022-06-11,36
2022-06-12,36
2022-06-13,36
2022-06-14,36
2022-06-15,36
2022-06-16,36
2022-06-17,36
2022-06-18,36
2022-06-19,36
2022-06-20,36
2022-06-21,36
2022-06-27,36
2022-07-08,36
2022-07-09,36
2022-07-10,36
2022-07-11,36
2022-07-12,36
2022-07-13,36
2022-07-14,36
2022-07-15,36
2022-07-16,36
2022-07-16,36
