UTC Date & Time,Voyage No.,Steaming time (HRS),FW production (MT),FW production (MT) /24
9-Sep-21,01 L 1,4,2,12
10-Sep-21,01 L 1,24,6,6
11-Sep-21,01 L 1,24,12,12
11-Sep-21,01 L 1,16,22,33
9-Oct-21,02 L,22,22,24
10-Oct-21,02 L,23,7,7.3
11-Oct-21,02 L,24,23,23
12-Oct-21,02 L,23,22,22.96
13-Oct-21,02 L,24,24,24
14-Oct-21,02 L,24,23,23
15-Oct-21,02 L,24,23,23
16-Oct-21,02 L,24,23,23
17-Oct-21,02 L,24,12,12
18-Oct-21,02 L,23,0,0
19-Oct-21,02 L,23.5,0,0
20-Oct-21,02 L,24,0,0
21-Oct-21,02 L,24,0,0
22-Oct-21,02 L,24,0,0
23-Oct-21,02 L,18,11,14.67
19-Nov-21,03 L,11.5,23,48
20-Nov-21,03 L,24,24,24
21-Nov-21,03 L,24,23,23
22-Nov-21,03 L,24,0,0
23-Nov-21,03 L,24,16,16
24-Nov-21,03 L,24,23,23
25-Nov-21,03 L,24,22,22
25-Nov-21,03 L,13,13,24
9-Dec-21,04 L,11,0,0
10-Dec-21,04 L,12.5,0,0
11-Dec-21,04 L,23,0,0
12-Dec-21,04 L,23.5,0,0
13-Dec-21,04 L,24,0,0
14-Dec-21,04 L,24,10,10
15-Dec-21,04 L,24,8,8
16-Dec-21,04 L,24,10,10
17-Dec-21,04 L,24,22,22
18-Dec-21,04 L,24,24,24
19-Dec-21,04 L,24,25,25
20-Dec-21,04 L,24,8,8
21-Dec-21,04 L,24,18,18
21-Dec-21,04 L,12.5,22,42.24
3-Jan-22,05L,24,22,22
4-Jan-22,05L,24,0,0
5-Jan-22,05L,24,9,9
6-Jan-22,05L,24,23,23
7-Jan-22,05L,24,22,22
8-Jan-22,05L,24,22,22
9-Jan-22,05L,24,14,14
9-Jan-22,05L,2,0,0
27-Jan-22,06 L,2.5,22,211.2
28-Jan-22,06 L,24,35,35
29-Jan-22,06 L,24,10,10
30-Jan-22,06 L,24,10,10
31-Jan-22,06 L,24,21,21
1-Feb-22,06 L,24,24,24
1-Feb-22,06 L,14,18,30.86
3-Feb-22,06 L,13,18,33.23
4-Feb-22,06 L,24,12,12
4-Feb-22,06 L,11.5,0,0
20-Feb-22,07 L,2.5,15,144
21-Feb-22,07 L,24,18,18
22-Feb-22,07 L,24,20,20
23-Feb-22,07 L,24,20,20
24-Feb-22,07 L,24,15,15
25-Feb-22,07 L,24,0,0
26-Feb-22,07 L,24,0,0
27-Feb-22,07 L,21,3,3.43
14-Mar-22,08 L,21,19,21.71
15-Mar-22,08 L,24,20,20
16-Mar-22,08 L,24,20,20
17-Mar-22,08 L,24,0,0
18-Mar-22,08 L,24,0,0
19-Mar-22,08 L,24,0,0
20-Mar-22,08 L,24,0,0
21-Mar-22,08 L,19,0,0
6-Apr-22,09 L,18,0,0
7-Apr-22,09 L,24,0,0
8-Apr-22,09 L,24,0,0
9-Apr-22,09 L,24,0,0
10-Apr-22,09 L,24,0,0
11-Apr-22,09 L,24,0,0
12-Apr-22,09 L,24,0,0
13-Apr-22,09 L,24,0,0
13-Apr-22,09 L,0.7,0,0
25-Apr-22,10 L,12.9,0,0
26-Apr-22,10 L,11,0,0
27-Apr-22,10 L,23,0,0
28-Apr-22,10 L,23.5,0,0
29-Apr-22,10 L,24,0,0
30-Apr-22,10 L,24,0,0
1-May-22,10 L,24,0,0
2-May-22,10 L,24,0,0
3-May-22,10 L,24,0,0
4-May-22,10 L,24,0,0
5-May-22,10 L,24,0,0
6-May-22,10 L,24,0,0
7-May-22,10 L,24,0,0
7-May-22,10 L,5.5,0,0
23-May-22,11 L,14,0,0
24-May-22,11 L,24,12,12
25-May-22,11 L,24,14,14
26-May-22,11 L,24,12,12
27-May-22,11 L,24,0,0
28-May-22,11 L,24,10,10
29-May-22,11 L,24,24,24
30-May-22,11 L,18.5,10,12.97
8-Jun-22,12 L,12,0,0
9-Jun-22,12 L,12.4,10,19.35
10-Jun-22,12 L,23.5,12,12.26
11-Jun-22,12 L,23.5,12,12.26
12-Jun-22,12 L,23.5,10,10.21
13-Jun-22,12 L,24,14,14
14-Jun-22,12 L,24,14,14
15-Jun-22,12 L,24,14,14
16-Jun-22,12 L,24,0,0
17-Jun-22,12 L,24,8,8
18-Jun-22,12 L,24,16,16
19-Jun-22,12 L,24,20,20
20-Jun-22,12 L,24,18,18
21-Jun-22,12 L,18.5,20,25.95
27-Jun-22,12 L,6,0,0
8-Jul-22,13 L,0.6,0,0
9-Jul-22,13 L,24,20,20
10-Jul-22,13 L,24,20,20
11-Jul-22,13 L,24,20,20
12-Jul-22,13 L,24,16,16
13-Jul-22,13 L,24,16,16
14-Jul-22,13 L,24,9,9
15-Jul-22,13 L,24,20,20
16-Jul-22,13 L,24,20,20
16-Jul-22,13 L,15.5,10,15.48
