UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. Limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
9-Sep-21,01 L 1,11,36,SS,4,10.75,18.25,4,4.89,5.64,64.5,33.84
10-Sep-21,01 L 1,11,36,SS,24,10.67,18.81,5,29.2,33.7,10.67,33.7
11-Sep-21,01 L 1,11,36,SS,24,10.58,19.24,5,29.5,34,10.58,34
11-Sep-21,01 L 1,11,36,SS,16,10.56,19.25,5,19.53,22.53,15.84,33.8
9-Oct-21,02 L,11,36,SS,22,8.55,37.29,7,31,35.1,9.33,38.29
10-Oct-21,02 L,11,36,SS,23,10.52,22.73,6,32,36.3,10.98,37.88
11-Oct-21,02 L,11,36,SS,24,11,19.39,6,33.4,37.9,11,37.9
12-Oct-21,02 L,11,36,SS,23,11.11,18.53,5,32.2,36.5,11.59,38.09
13-Oct-21,02 L,11,36,SS,24,11.71,14.12,4,33.4,37.9,11.71,37.9
14-Oct-21,02 L,11,36,SS,24,10.42,23.59,6,34,38.5,10.42,38.5
15-Oct-21,02 L,11,36,SS,24,10.4,23.65,5,34,38.5,10.4,38.5
16-Oct-21,02 L,11,36,SS,24,11.04,18.91,4,34,38.5,11.04,38.5
17-Oct-21,02 L,11,36,SS,24,11.29,17.07,4,34,38.5,11.29,38.5
18-Oct-21,02 L,11,36,SS,23,11.61,14.86,4,32.7,37,12.11,38.61
19-Oct-21,02 L,11,36,SS,23.5,11.32,16.85,4,33.29,37.69,11.56,38.49
20-Oct-21,02 L,11,36,SS,24,11.29,17.07,4,34,38.5,11.29,38.5
21-Oct-21,02 L,11,36,SS,24,11.29,17.18,4,34,38.5,11.29,38.5
22-Oct-21,02 L,11,36,SS,24,11.38,16.89,4,33.8,38.3,11.38,38.3
23-Oct-21,02 L,11,36,SS,18,11.78,14.41,4,25.41,28.8,15.71,38.4
