Voyage No.,Departure Port,Arrival Port,Instructed Speed,Avg Speed (Voyage),Avg Speed (in Good weather),Avg FO cons / day,CP Fuel cons limit
01 L,Cochin,Hazira,11,10.6,10.8,33.8,36
02 L,RBCT,Hazira,11,11,11.4,38.6,36
03 L,Vizag,Hazira,11,11.3,11.3,35.6,36
04 L,Mina Saqr,Dhamra,11,9.9,9.9,36.2,36
05 L,Vizag,Hazira,11,11,11,39.9,36
06L,Vizag,Hazira,11,10.1,10.1,30.8,32
07L,Vizag,Hazira,11,10.9,10.9,40.1,36
08L,Vizag,Hazira,11,10,10,34.9,32
09L,VIZAG - INDIA,HAZIRA - INDIA,11,10.18,10.18,30.22,32
10L,FUJAIRAH - ANCHORAGE B - UAE,DHAMRA - INDIA,11,10.32,10.32,31.81,32
11L,VIZAG - INDIA,HAZIRA - INDIA,11,10.45,10.45,32.79,32
12L,DHAMRA - INDIA,HALDIA - INDIA,11,9.82,9.82,30.31,32
13L,VIZAG - INDIA,HAZIRA - INDIA,11,9.3,9.3,34.75,32
